,method,observation_sequence,n_states,time,log_prob
20063,ga_only,0,12,0.8423557000933215,-4.554675659758504
20064,bw_only,0,12,0.0013138999929651618,0.0
20065,ga_and_bw,0,12,0.8511196000035852,0.0
20066,random_only,0,12,0.0005022999830543995,-10.38476636951447
20067,ga_only,0,12,0.840943899936974,-4.695228894524434
20068,bw_only,0,12,0.0012874000240117311,2.220446049250314e-16
20069,ga_and_bw,0,12,0.8403959999559447,0.0
20070,random_only,0,12,0.0004990999586880207,-13.251130654294919
20071,ga_only,0,12,0.849229900049977,-4.679146073707156
20072,bw_only,0,12,0.0015214000595733523,-2.2204460492503128e-16
20073,ga_and_bw,0,12,0.8429847999941558,7.395570986446986e-32
20074,random_only,0,12,0.000534999999217689,-14.031063092292538
20075,ga_only,0,12,0.8505877000279725,-4.489765533001281
20076,bw_only,0,12,0.0012746999273076653,-1.3862943611198906
20077,ga_and_bw,0,12,0.8396273000398651,0.0
20078,random_only,0,12,0.000498299952596426,-18.612112035647673
20079,ga_only,0,12,0.841072199982591,-4.742857747228419
20080,bw_only,0,12,0.0013086999533697963,-1.3862943611198906
20081,ga_and_bw,0,12,0.8435393000254408,7.395570986446986e-32
20082,random_only,0,12,0.0005030999891459942,-11.953820906650698
20083,ga_only,0,12,0.8589131999760866,-4.64147340979684
20084,bw_only,0,12,0.0018823000136762857,-1.3862943611198906
20085,ga_and_bw,0,12,0.8350899000652134,0.0
20086,random_only,0,12,0.0005023000994697213,-12.181947570551639
20087,ga_only,0,12,0.8463005000958219,-4.178520832000926
20088,bw_only,0,12,0.0012751000467687845,-1.3862943611198906
20089,ga_and_bw,0,12,0.8448623999720439,7.395570986446986e-32
20090,random_only,0,12,0.000534699996933341,-13.914933495848102
20091,ga_only,0,12,0.8430707999505103,-5.672324394891173
20092,bw_only,0,12,0.0013047999236732721,-2.772588722239804
20093,ga_and_bw,0,12,0.8439203000161797,7.395570986446986e-32
20094,random_only,0,12,0.0005131999496370554,-18.457303837885046
20095,ga_only,0,12,0.8478148999856785,-5.164814711601132
20096,bw_only,0,12,0.0013833000557497144,0.0
20097,ga_and_bw,0,12,0.8416433000238612,7.395570986446986e-32
20098,random_only,0,12,0.0005022999830543995,-11.272373588472064
20099,ga_only,0,12,0.8457280000438914,-4.3069908811992175
20100,bw_only,0,12,0.001257200026884675,-1.4034871234875166
20101,ga_and_bw,0,12,0.8460158000234514,0.0
20102,random_only,0,12,0.0005304000806063414,-13.551840353559744
20103,ga_only,0,12,0.8363573999376968,-5.291007975600465
20104,bw_only,0,12,0.001242100028321147,-1.3866199963827655
20105,ga_and_bw,0,12,0.8444494999712333,-2.2204460492503128e-16
20106,random_only,0,12,0.000497999950312078,-21.275308543657818
20107,ga_only,0,12,0.8445899999933317,-5.218249610952023
20108,bw_only,0,12,0.001299199997447431,-4.440892098500624e-16
20109,ga_and_bw,0,12,0.8371180999092758,0.0
20110,random_only,0,12,0.0004992999602109194,-13.671028457792897
20111,ga_only,0,12,0.8466582000255585,-4.554123408779115
