,method,observation_sequence,n_states,time,log_prob
205,ga_and_bw,1,7,1.4245507000014186,-1.386294361137199
206,random_only,1,7,0.0006829000194557011,-8.42282860636717
207,ga_only,1,7,1.4060940999770537,-3.032913720121517
208,bw_only,2,7,0.001106100040487945,-5.545177444479564
209,ga_and_bw,2,7,1.4924961000215262,-5.545177444479562
210,random_only,2,7,0.00048620003508403897,-20.15261803051758
211,ga_only,2,7,1.486981200054288,-7.192393097873248
212,bw_only,3,7,0.0007038000039756298,-3.295836866004329
213,ga_and_bw,3,7,1.4354914000141434,-1.3862943611198906
214,random_only,3,7,0.0006587999523617327,-9.684825616258582
215,ga_only,3,7,1.4558041999698617,-3.5640190405776067
216,bw_only,4,7,0.0010898999753408134,0.0
217,ga_and_bw,4,7,1.367158000008203,0.0
218,random_only,4,7,0.00043160002678632736,-10.182398568843304
219,ga_only,4,7,1.4483632000046782,-3.5138234958826065
220,bw_only,5,7,0.0009545999928377569,0.0
221,ga_and_bw,5,7,1.442957799998112,-2.2204460492503106e-16
222,random_only,5,7,0.002409400010947138,-13.68789150801252
223,ga_only,5,7,1.4390691999578848,-1.8775792267726799
224,bw_only,6,7,0.0010164000559598207,-4.630093880750773
225,ga_and_bw,6,7,1.492256700003054,-2.7725887222397816
226,random_only,6,7,0.00043840002035722136,-12.729051474207582
227,ga_only,6,7,1.4551405999809504,-7.62214937934456
228,bw_only,7,7,0.0011656000278890133,-4.682254773819332
229,ga_and_bw,7,7,1.4658315000124276,-3.8190850097688775
230,random_only,7,7,0.0004295000107958913,-21.66513894631028
231,ga_only,7,7,1.4475455000065267,-8.11037352881327
232,bw_only,8,7,0.0010827999794855714,-2.220446049250312e-16
233,ga_and_bw,8,7,1.4193422000389546,0.0
234,random_only,8,7,0.000361700018402189,-5.342220879358152
235,ga_only,8,7,1.409796499996446,-2.428159680692027
236,bw_only,9,7,0.0016206000000238419,-9.70406056113732
237,ga_and_bw,9,7,1.5936504999990575,-6.4082236618349055
238,random_only,9,7,0.000501000031363219,-29.43060482024471
239,ga_only,9,7,1.5362961000064388,-12.159954628089013
240,bw_only,0,8,0.0010858000023290515,-1.3862943611198906
241,ga_and_bw,0,8,1.4128034999594092,0.0
